alert_index,alert_date
50,2023-02-20
64,2023-03-06
288,2023-10-16
295,2023-10-23
337,2023-12-04
485,2024-04-30
666,2024-10-28
708,2024-12-09
837,2025-04-17
844,2025-04-24
919,2025-07-08
1204,2026-04-19
1209,2026-04-24
